"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Newcastle","Shadow Parliamentary Secretary - Official Business","1","319.00","319.00","31-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","19-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Sydney to Canberra","","","341.03","06-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Sydney","","","341.03","09-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Sydney to Canberra","","","341.03","12-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Sydney","","","341.03","16-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Sydney to Canberra","","","161.04","26-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Sydney","","","354.03","03-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Sydney to Canberra","","","354.03","07-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Canberra to Sydney","","","121.30","08-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 7 Jan to 6 Feb 17","","","661.50","06-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 24 Jan to 23 Feb 17","","","840.67","23-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 30 Jan to 11 Feb 17","","","151.74","11-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 24 Feb to 23 Mar 17","","","840.67","23-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 13 Nov 16","","","69.16","13-Nov-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 24 Nov to 23 Dec 16","","","840.67","23-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 3 Dec 16","","","76.86","03-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 7 Dec 16 to 6 Jan 17","","","661.50","07-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 16 Dec 16 to 6 Jan 17","","","166.12","16-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel interest fee 22 Dec 16","","","0.34","22-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 24 Dec 16 to 23 Jan 17","","","840.67","24-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Sydney","","","40.00","06-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Sydney","","","43.80","09-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Sydney","","","78.60","12-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Feb 17 - Sydney","","","43.80","16-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Sydney","","","78.60","26-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Canberra","","","40.00","03-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Canberra","","","40.00","03-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Sydney","","","43.80","03-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Sydney","","","40.00","07-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Canberra","","","41.80","07-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Canberra","","","40.00","08-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Mar 17 - Sydney","","","78.60","19-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Sydney","","","43.60","23-Mar-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","48,360.82","01-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","3,155.75","01-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","2 Ink cartridges 20 Jan 17","","","438.74","20-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","90.59","27-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","7.90","27-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Feb to 28 Feb 17","","","172.28","28-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Nov to 27 Dec 16","","","175.39","27-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Nov to 27 Dec 16","","","16.26","27-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Dec 16 to 27 Jan 17","","","1.64","28-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","","","9.58","28-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution late payment fee Jan 17","","","15.00","01-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","7,206.79","31-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution credit 1 Jan to 31 Jan 17","","","-68.18","31-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","e-material 1 Jan 17","","","500.60","01-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Printing 25 Jan 17","","","200.00","25-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 30 Jan 17","","","998.00","30-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Feb to 28 Feb 17","","","190.91","28-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","PO Box 895 rental 1 Apr 17 to 31 Mar 18","","","271.82","01-Apr-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution credit 11 Oct 16","","","-1.09","11-Oct-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","314 Printed items 26 Nov 16","","","741.04","26-Nov-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Dec to 31 Dec 16","","","12,265.05","31-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","81,000 Printed items 5 Dec 16","","","6,315.45","05-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Printing 5 Dec 16","","","400.00","05-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","2,000 Printed items 5 Dec 16","","","2,000.00","05-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Printing 5 Dec 16","","","150.00","05-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Printing 5 Dec 16","","","275.00","05-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","3,000 Printed items 5 Dec 16","","","727.27","05-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","3,000 Printed items 5 Dec 16","","","727.27","05-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Printing 5 Dec 16","","","1,500.00","05-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","79,777 Printed items 5 Dec 16","","","13,181.82","05-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","15,000 Personalised letterhead stationery 9 Dec 16","","","830.00","09-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","15,000 Personalised letterhead stationery 9 Dec 16","","","995.00","09-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","2,407 Personalised letterhead stationery 15 Dec 16","","","224.55","15-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 15 Dec 16","","","262.58","15-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","299 Printed items 31 Dec 16","","","672.95","31-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Australian Financial Review (digital) 4 Nov 16 to 3 Feb 17","","","162.38","04-Nov-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Sydney Morning Herald (digital) 6 Nov 16 to 25 Feb 17","","","91.75","06-Nov-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","12 The Daily Telegraph (Sat), 12 The Sunday Telegraph and 1 The Daily Telegraph (digital) 18 Nov 16","","","65.45","18-Nov-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","to 9 Feb 17","","","","09-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","12 The Weekend Australian and 1 The Australian (digital) 22 Nov 16 to 13 Feb 17","","","87.27","22-Nov-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 12 Jan 17","","","253.66","12-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 12 Jan 17","","","31.77","12-Jan-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 12 Feb 17","","","242.55","12-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 12 Feb 17","","","33.35","12-Feb-2017",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","Before 1 January 2017","","","","Office phones 9 Dec 16","","","274.45","09-Dec-2016",""
"Matt Thistlethwaite","Representative","Kingsford Smith","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","Before 1 January 2017","","","","Office fax 9 Dec 16","","","32.14","09-Dec-2016",""
