"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Feb 17","9 Feb 17","Sydney","Electorate Business","1","400.00","400.00","09-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","19-Mar-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","1,380.00","27-Nov-2016",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Melbourne to Sydney","","","842.36","02-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Sydney to Melbourne","","","842.36","02-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","716.51","05-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Sydney","","","628.69","09-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Melbourne","","","842.36","10-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","637.91","12-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","637.91","16-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","751.97","26-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Melbourne","","","751.97","03-Mar-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","637.91","19-Mar-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Melbourne","","","637.91","23-Mar-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Canberra to Melbourne","","","689.24","02-Dec-2016",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Melbourne","","","114.52","02-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Sydney","","","43.80","02-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Sydney","","","277.65","02-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Sydney","","","40.00","02-Feb-2017",""
"Tim Wilson","Representative","Goldstein","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Melbourne","","","77.22","02-Feb-2017",""
