"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Canberra","Shadow Minister - Official Business","1","276.00","276.00","30-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","07-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","23 Feb 17","Sydney","Shadow Minister - Official Business","2","400.00","800.00","22-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","27-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Mar 17","8 Mar 17","Launceston","Shadow Minister - Official Business","1","286.00","286.00","08-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","14 Mar 17","Townsville","Shadow Minister - Official Business","1","297.00","297.00","14-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Mar 17","15 Mar 17","Melbourne","Shadow Minister - Official Business","1","382.00","382.00","15-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Hobart to Sydney","","","745.75","30-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Sydney to Canberra","","","121.30","30-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Canberra to Melbourne","","","749.77","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Melbourne to Hobart","","","","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Feb 17 - Hobart to Sydney","","","787.18","07-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Feb 17 - Sydney to Canberra","","","","07-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","749.77","10-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Hobart","","","","10-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Hobart to Melbourne","","","749.77","12-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","","12-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","749.77","17-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Melbourne to Hobart","","","","17-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Hobart to Sydney","","","669.63","22-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Sydney to Hobart","","","669.63","24-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Hobart to Melbourne","","","749.77","27-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Melbourne to Canberra","","","","27-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Melbourne","","","749.77","03-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Melbourne to Hobart","","","","03-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Hobart to Melbourne","","","1,742.09","14-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Melbourne to Sydney","","","","14-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Sydney to Townsville","","","","14-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Townsville to Sydney","","","308.18","15-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Sydney to Melbourne","","","883.94","15-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Mar 17 - Melbourne to Hobart","","","755.85","16-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Mar 17 - Hobart to Melbourne","","","749.77","20-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Mar 17 - Melbourne to Canberra","","","","20-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 9 Jan to 24 Jan 17","","","194.74","24-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 26 Jan to 25 Feb 17","","","1,102.26","25-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 6 Feb to 18 Feb 17","","","135.93","18-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 26 Feb to 25 Mar 17","","","1,102.26","25-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 3 Dec to 26 Dec 16","","","226.87","26-Dec-2016",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 26 Dec 16 to 25 Jan 17","","","1,102.26","26-Dec-2016",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Hobart","","","40.00","30-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Sydney","","","50.00","30-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Sydney","","","40.00","30-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Canberra","","","41.80","30-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Canberra","","","40.00","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Canberra","","","40.00","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Hobart","","","42.00","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","7 Feb 17 - Hobart","","","40.00","07-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Hobart","","","45.85","10-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Hobart","","","78.60","12-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Hobart","","","42.00","17-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Hobart","","","40.00","22-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Sydney","","","93.50","22-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Sydney","","","108.40","22-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Feb 17 - Sydney","","","40.00","23-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Feb 17 - Sydney","","","40.00","23-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Feb 17 - Sydney","","","60.26","23-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","24 Feb 17 - Sydney","","","40.00","24-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","24 Feb 17 - Hobart","","","42.00","24-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Feb 17 - Hobart","","","40.00","27-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Canberra","","","40.00","03-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Hobart","","","42.00","03-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Hobart","","","40.00","14-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Mar 17 - Hobart","","","42.00","16-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Mar 17 - Hobart","","","40.00","20-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Hobart","","","42.00","23-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Mar 17 - Hobart","","","40.00","27-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","31 Jan 17","","","26.66","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","31 Jan 17","","","15.83","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","23,218.88","01-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","2,338.39","01-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 1 Jan to 31 Jan 17","","","21.66","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","77.41","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Jan to 31 Jan 17","","","188.72","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 11 Jan 17","","","32.00","11-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 24 Jan to 23 Feb 17","","","142.49","23-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 24 Jan to 23 Feb 17","","","1,435.31","23-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 25 Jan 17","","","16.00","25-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Feb to 28 Feb 17","","","63.55","28-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 1 Feb to 28 Feb 17","","","21.66","28-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 8 Feb 17","","","16.00","08-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 22 Feb 17","","","16.00","22-Feb-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 8 Mar 17","","","24.00","08-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 22 Mar 17","","","16.00","22-Mar-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Software reimbursement 2016/17","","","1,500.00","01-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Nov to 23 Dec 16","","","53.98","23-Dec-2016",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Nov to 23 Dec 16","","","581.16","23-Dec-2016",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Water refills 1 Dec to 31 Dec 16","","","21.66","31-Dec-2016",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Water refills 14 Dec 16","","","16.00","14-Dec-2016",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","15,000 Envelopes 15 Dec 16","","","692.00","15-Dec-2016",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Dec 16 to 23 Jan 17","","","585.43","24-Dec-2016",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Dec 16 to 23 Jan 17","","","61.25","24-Dec-2016",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","443.65","31-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 1 Jan 17","","","452.60","01-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Web-services 9 Jan 17 to 8 Jan 18","","","172.85","09-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","20,000 Personalised letterhead stationery 10 Jan 17","","","1,048.00","10-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Printing 10 Jan 17","","","37.00","10-Jan-2017",""
"Julie Collins","Representative","Franklin","Tasmania","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","19,000 Printed items 10 Jan 17","","","1,557.00","10-Jan-2017",""
